id,last_name,first_name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_y_position,avg_batter_x_position,competitive_swings
702332,Durbin, Caleb,R,67.91519361,27.55871179,8.058809916,-3.975629599,0.638054363,-4.525200741,27.83921894,32.36441968,27.16432263,699
678225,Bae, Ji Hwan,L,67.8941485,30.75729812,5.562694149,7.933223559,0.375,-4.777953148,26.12099305,30.8989462,25.53455902,40
689172,Wisely, Brett,L,67.84010887,33.17914147,10.28157272,-0.866800873,0.530434783,5.811166705,30.4363616,24.62519489,23.11748146,115
668942,Rojas, Josh,L,67.78186599,32.12359349,9.875169912,1.158439572,0.560509554,-8.338948415,24.25047712,32.58942554,29.61073621,314
683021,Stefanic, Michael,R,67.78126519,32.12198461,6.147158016,-0.815512945,0.296296296,4.215188786,30.1800999,25.96491112,27.96869797,27
670032,Lopez, Nicky,L,67.7394365,26.45774924,7.899382948,3.710834903,0.5,6.788824742,28.68905941,21.90023466,29.51371437,40
642086,Smith, Dominic,L,67.73458471,35.24219914,12.4812401,-4.046454547,0.526027397,5.355992319,35.72734463,30.37135231,26.3703115,365
805373,Alvarez Jr., Nacho,R,67.72138461,30.3541124,6.206382968,0.046041294,0.423208191,-3.314754884,28.86903121,32.18378609,26.61904756,293
676391,Clement, Ernie,R,67.60672793,32.22439195,11.57783154,-3.095579177,0.593240093,8.516740652,31.13934821,22.62260755,28.26591943,858
518934,LeMahieu, DJ,R,67.58544068,28.31385214,5.66565432,12.64956274,0.484210526,-8.254984254,22.09363182,30.34861607,32.95039513,190
656716,McKinstry, Zach,L,67.5402939,37.42732006,9.895872879,1.359361406,0.431279621,-0.071971935,27.29312133,27.36509327,26.45161207,844
670156,Mastrobuoni, Miles,L,67.53322632,32.90572849,8.161371144,-2.556874254,0.440909091,7.813464828,33.76173385,25.94826902,27.28832987,220
694384,Schanuel, Nolan,L,67.5293404,38.49627878,8.633209221,-1.006502427,0.461063041,0.745791457,30.75024796,30.0044565,23.25288273,809
700337,Quero, Edgar,R,67.49907194,31.51480667,6.018052615,9.498417722,0.521604938,-9.057118057,25.12675144,34.18386949,29.61591174,648
805367,Meidroth, Chase,R,67.43446123,29.37980862,6.673114838,2.072338552,0.48699422,-2.446223399,29.14643694,31.59266034,28.23152244,692
668974,Handley, Maverick,R,67.39106218,30.46198246,6.130051012,6.668317444,0.5,-2.49650376,27.0492047,29.54570846,25.34226022,78
657077,Verdugo, Alex,L,67.37417536,30.93188573,1.838611228,-0.633187858,0.307142857,-0.031009304,32.05753422,32.08854352,23.40687096,280
689414,Hicks, Liam,L,67.3671198,32.63194578,9.06379801,-1.862932443,0.487077535,2.68784721,30.10077823,27.41293102,26.26232309,503
663967,Salazar, César,L,67.33838048,32.61191709,10.79835207,0.485610676,0.666666667,-0.630343182,28.87454142,29.5048846,25.34368891,21
683227,Freeman, Cody,R,67.31424359,25.68290351,10.31490069,-2.622785806,0.696969697,7.437467881,34.53254386,27.09507598,26.27180464,198
663968,Mangum, Jake,R,67.30838719,29.25321327,2.2759594,11.53800141,0.310435931,-5.443635106,21.02390302,26.46753812,28.5233907,757
808975,Kim, Hyeseong,L,67.30490218,41.61010657,10.13650571,0.018404301,0.37883959,-1.419595404,25.45977568,26.87937109,26.03716261,293
687957,Harris, Dustin,L,67.20531222,40.26009972,11.66956019,-8.818762256,0.320987654,16.26204868,34.52898913,18.26694045,23.97075138,81
607732,Stallings, Jacob,R,67.13776792,31.73920588,12.25285552,3.491567495,0.510638298,0.676270024,27.33473258,26.65846256,28.45474455,235
506702,León, Sandy,R,67.10968,32.4109241,16.91956715,-2.713206175,0.473684211,-0.88866227,32.51424206,33.40290433,29.07652863,19
641645,Guillorme, Luis,L,67.10690147,34.85944125,9.692758119,6.386213396,0.441176471,-4.037443539,25.33933083,29.37677437,26.93164755,34
641658,Hampson, Garrett,R,67.08788284,30.5253325,9.411924803,-2.869481521,0.480314961,-1.644886866,33.37117461,35.01606147,28.17318337,127
664702,Straw, Myles,R,67.06644122,35.79613115,6.637203381,3.346646035,0.448356808,-3.02941748,26.20902148,29.23843896,25.9331093,426
645302,Robles, Victor,R,67.03356696,33.32301664,9.633208001,-3.26028097,0.476439791,13.92956734,23.35297386,9.423406515,31.13840569,191
543877,Vázquez, Christian,R,67.00816381,26.7689838,7.619850974,-1.144094739,0.583333333,5.80064752,33.19997128,27.39932376,27.56232887,312
645444,Herrera, Jose,R,66.95175529,33.14809285,7.367111197,-5.39963237,0.478417266,6.80881355,30.52028335,23.7114698,25.96024274,278
807712,Keaschall, Luke,R,66.93125235,35.56959799,8.136602851,-1.131323793,0.5,9.758321507,33.09228475,23.33396325,27.60420775,272
678011,Seigler, Anthony,L,66.90941265,35.12724347,12.10058467,5.908570455,0.591836735,-1.498270848,30.94181833,32.44008918,26.86352773,98
682183,Avans, Drew,L,66.90447286,28.10637403,1.376805864,5.978839984,0.238095238,3.08403945,26.65779263,23.57375318,25.21249449,42
670092,Brooks, Trenton,L,66.88877829,30.98608099,14.52186495,0.034616945,0.62195122,1.269635853,28.58732705,27.3176912,25.29817931,82
669364,Edwards, Xavier,R,66.87790447,31.12139093,2.684583817,2.437286242,0.341991342,8.810051659,28.51019274,19.70014108,24.39553448,924
676070,Amaya, Jacob,R,66.80839258,29.80743356,8.238282771,5.406477386,0.662921348,-4.056782897,25.17819134,29.23497423,28.29814395,89
553882,Narváez, Omar,L,66.74530412,34.08539889,11.03346816,-0.156028678,0.764705882,-1.809037438,28.42441748,30.23345492,28.6566025,17
642727,Alcántara, Sergio,R,66.72422667,36.56119743,8.747735964,2.274525438,0.666666667,0.98277275,28.9200986,27.93732585,27.45057824,6
686452,Millas, Drew,R,66.67586395,34.24946088,3.026218842,0.566789774,0.271604938,-4.778042852,25.20326405,29.9813069,24.27311045,81
605131,Barnes, Austin,R,66.65282267,28.86602704,4.478625207,2.4494677,0.333333333,3.202509589,30.05140974,26.84890015,27.76890186,60
571657,Farmer, Kyle,R,66.58197131,33.48796871,12.66799832,-0.838216203,0.485169492,5.473567474,32.59315523,27.11958776,27.50392508,472
660844,Rivas, Leo,R,66.56924767,37.98031203,15.4364753,-2.820644814,0.566666667,1.086326308,31.38693277,30.30060646,23.36417834,150
643396,Kiner-Falefa, Isiah,R,66.56683787,32.48309056,4.420099265,3.664318211,0.375182482,-0.693690995,28.84320109,29.53689208,27.79607657,685
571466,Barnhart, Tucker,L,66.45853091,31.02413325,7.827500981,-2.069481156,0.590909091,-0.124300897,32.04382671,32.16812761,26.98380808,22
674441,Hurtubise, Jacob,L,66.42551391,36.70504264,5.100617504,0.96003646,0.52173913,-9.987715202,23.57823889,33.56595409,24.06936591,23
663897,Williams, Luke,R,66.29433587,33.92063729,11.21587994,-4.016650784,0.47826087,7.330366924,31.64431449,24.31394757,27.38284051,46
457759,Turner, Justin,R,66.29025578,34.42433661,9.049018481,1.808697733,0.50764526,3.864308971,37.02310001,33.15879104,21.9948304,327
689041,Thomas, Rhylan,L,66.22653737,30.5003894,4.421265258,2.07678865,0.421052632,-0.277498504,29.48501791,29.76251641,29.25470947,19
623168,Heineman, Tyler,R,66.18697377,28.89906322,6.485784299,-12.5029802,0.450549451,6.147667682,34.8330485,28.68538081,28.53732058,273
676701,Trejo, Alan,R,66.09381235,36.85110678,15.95426094,-1.762308136,0.5,7.145221424,34.91199464,27.76677321,28.84719381,68
669743,Call, Alex,R,66.08392403,33.44524189,7.002566472,8.198742147,0.468531469,-6.215118632,27.48532948,33.70044811,27.38176054,429
660688,Ruiz, Keibert,R,66.06959253,34.19059599,10.37161999,-8.978568195,0.527980535,2.653785262,36.89091342,34.23712816,24.83142337,411
456781,Solano, Donovan,R,65.94810389,33.94969191,8.810383986,-1.797672082,0.375816993,1.682054185,28.90659223,27.22453804,26.99145283,306
665561,Marchán, Rafael,R,65.89444096,32.39569208,11.28107945,-1.560789663,0.5,4.510836562,30.59684135,26.08600479,28.00373292,178
624428,Frazier, Adam,L,65.88624847,39.18012178,11.39209825,3.022401934,0.456118665,2.923323482,24.04243141,21.11910793,22.08754675,809
527038,Flores, Wilmer,R,65.5298878,32.14250262,11.22719554,-6.604416838,0.498054475,3.697373347,31.38298674,27.68561339,25.25729447,771
691011,Romo, Drew,R,65.16504571,35.28850316,15.59493219,-11.78764994,0.285714286,13.03905102,37.82655852,24.7875075,26.44731766,7
642180,Wade, Tyler,L,64.99597237,31.76370371,7.317628838,-1.343116784,0.456647399,-3.055940608,27.91647798,30.97241859,27.29155849,173
669397,Allen, Nick,R,64.51688085,30.28251955,7.265879398,-0.666137582,0.482758621,4.802493637,32.10387726,27.30138362,27.06412555,638
802415,Simpson, Chandler,L,64.18700183,30.1700274,3.5065481,6.901414792,0.392156863,-6.247654203,20.96623402,27.21388823,31.99194273,612
805779,Wilson, Jacob,R,63.85242524,35.15882154,2.847177896,-1.072479335,0.363509749,2.039003508,30.58805123,28.54904772,25.66990301,718
680757,Kwan, Steven,L,63.68114734,35.61840002,3.242778316,-2.507621282,0.353249476,6.951044911,29.79413493,22.84309002,22.66692478,954
691907,Cheng, Tsung-Che,L,63.30631167,29.45133447,-0.924399587,15.54295424,0.25,-11.81144264,21.57471023,33.38615287,24.20370995,12
624513,Nuñez, Dom,L,63.150185,31.85141874,20.21813969,-20.51873167,0.125,21.27142014,42.71382852,21.44240838,27.5480728,8
650333,Arraez, Luis,L,62.64873532,37.43745146,5.616089662,4.621656466,0.402764067,-2.828035668,31.48458971,34.31262537,26.01993615,1013
